[DEBUG 2018-08-31 22:11:43]cookies: {'PPY_AFFSESSID1': 's%3AYC2YCWP7JzDtDheX3QBkhlPA.vCFjK9XxSVlq5ZmAZEJyGW15bLG47i31aKG%2FSwBuORE'}
[INFO 2019-01-08 20:08:33]初始化配置文件, path=D:\API_Automation\Conf\config.ini
[INFO 2019-01-08 20:08:33]执行用例集为：--allure_features=Home,Personal
[INFO 2019-01-08 20:18:06]初始化配置文件, path=D:\API_Automation\Conf\config.ini
[INFO 2019-01-08 20:18:06]执行用例集为：--allure_features=Home,Personal
[INFO 2019-01-08 20:18:56]初始化配置文件, path=D:\API_Automation\Conf\config.ini
[INFO 2019-01-08 20:18:56]执行用例集为：--allure_features=Home,Personal
[INFO 2019-01-08 20:29:12]解析yaml, Path:D:\API_Automation/Params/Yaml/Basic.yaml
[INFO 2019-01-08 20:29:43]初始化配置文件, path=D:\API_Automation\Conf\config.ini
[INFO 2019-01-08 20:29:43]执行用例集为：--allure_features=Home,Personal
[INFO 2019-01-23 20:46:05]解析yaml, Path:D:\API_Automation/Params/Yaml/Basic.yaml
[INFO 2019-01-23 20:46:53]解析yaml, Path:D:\API_Automation/Params/Yaml/Basic.yaml
[INFO 2019-01-23 20:50:36]解析yaml, Path:D:\API_Automation/Params/Yaml/Basic.yaml
[INFO 2019-01-23 20:53:43]解析yaml, Path:D:\API_Automation/Params/Yaml/Basic.yaml
[INFO 2019-01-24 20:03:39]解析yaml, Path:D:\API_Automation/Params/Yaml/Basic.yaml
[INFO 2019-01-24 20:30:17]解析yaml, Path:D:\API_Automation/Params/Yaml/Basic.yaml
[INFO 2019-01-24 20:33:29]解析yaml, Path:D:\API_Automation/Params/Yaml/Basic.yaml
[INFO 2019-01-24 20:36:09]解析yaml, Path:D:\API_Automation/Params/Yaml/Basic.yaml
[INFO 2019-01-24 20:44:18]解析yaml, Path:D:\API_Automation/Params/Yaml/Basic.yaml
[INFO 2019-01-24 20:56:49]解析yaml, Path:D:\API_Automation/Params/Yaml/Basic.yaml
[INFO 2019-01-24 21:04:45]解析yaml, Path:D:\API_Automation/Params/Yaml/Basic.yaml
[INFO 2019-01-24 21:05:31]解析yaml, Path:D:\API_Automation/Params/Yaml/Basic.yaml
[INFO 2019-01-24 21:05:58]解析yaml, Path:D:\API_Automation/Params/Yaml/Basic.yaml
[INFO 2019-01-24 21:08:10]解析yaml, Path:D:\API_Automation/Params/Yaml/Basic.yaml
[INFO 2019-01-24 21:10:03]解析yaml, Path:D:\API_Automation/Params/Yaml/Basic.yaml
[INFO 2019-01-24 21:12:33]解析yaml, Path:D:\API_Automation/Params/Yaml/Login.yaml
[INFO 2019-01-24 21:18:34]解析yaml, Path:D:\API_Automation/Params/Yaml/Login.yaml
[INFO 2019-01-24 21:19:14]解析yaml, Path:D:\API_Automation/Params/Yaml/Login.yaml
[INFO 2019-01-24 21:23:46]解析yaml, Path:D:\API_Automation/Params/Yaml/Login.yaml
[INFO 2019-01-24 21:24:14]解析yaml, Path:D:\API_Automation/Params/Yaml/Login.yaml
[INFO 2019-01-24 21:24:52]解析yaml, Path:D:\API_Automation/Params/Yaml/Login.yaml
[INFO 2019-01-24 21:28:11]解析yaml, Path:D:\API_Automation/Params/Yaml/Login.yaml
[INFO 2019-01-24 21:28:51]解析yaml, Path:D:\API_Automation/Params/Yaml/Login.yaml
